"URL d'accès au document";"Type de document";"Titre";"Auteurs";"Contributeur";"Éditeurs";"Date d'édition";"Description";"Nombre de Vues";"Provenance";"Droits";"Ark Catalogue"
"https://gallica.bnf.fr/ark:/12148/bpt6k2413373g";"texte -- text -- publication en série imprimée -- printed serial";"Le Signal : messager de la semaine / dir. politique Eug. Réveillaud";"Réveillaud, Eugène (1851-1935). Auteur du texte";"";" (Paris)";"1913-11-23";"23 novembre 1913 -- 1913/11/23 (A33,N2386). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL LC2-4365";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32868214f -- https://gallica.bnf.fr/ark:/12148/cb32868214f/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k48724954";"texte -- text -- publication en série imprimée -- printed serial";"Mémorial de la Loire et de la Haute-Loire";"";"";" (Saint-Étienne)";"1914-03-23";"23 mars 1914 -- 1914/03/23 (A70,N82). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-86642";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32813853r -- https://gallica.bnf.fr/ark:/12148/cb32813853r/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4872617m";"texte -- text -- publication en série imprimée -- printed serial";"Mémorial de la Loire et de la Haute-Loire";"";"";" (Saint-Étienne)";"1914-07-23";"23 juillet 1914 -- 1914/07/23 (A70,N204). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-86642";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32813853r -- https://gallica.bnf.fr/ark:/12148/cb32813853r/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4313701j";"texte -- text -- publication en série imprimée -- printed serial";"La Gazette de Château-Gontier : Journal politique, littéraire, agricole et commercial [\"ou\" Nouvelles de l'Ouest...]";"";"";" (Château-Gontier)";"1914-04-09";"09 avril 1914 -- 1914/04/09 (A37,N29). --  -- Appartient à l’ensemble documentaire : PaysLoir1";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-14940";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327802691 -- https://gallica.bnf.fr/ark:/12148/cb327802691/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k1859547d";"texte -- text -- publication en série imprimée -- printed serial";"Le Guetteur de Saint-Quentin et de l'Aisne";"";"";" (Saint-Quentin)";"1913-05-22";"22 mai 1913 -- 1913/05/22 (A45,N118). -- ";"";"Bibliothèque nationale de France, département Centre technique du livre, JO 88353";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32784500v -- https://gallica.bnf.fr/ark:/12148/cb32784500v/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4845498g";"texte -- text -- publication en série imprimée -- printed serial";"La Gazette de France";"";"Genoude, Antoine-Eugène (1792-1849). Collaborateur -- Lourdoueix, Paul de (18..-1868). Directeur de publication";" (Paris)";"1913-01-27";"27 janvier 1913 -- 1913/01/27 (A282). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, 4-LC2-1";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32780296x -- https://gallica.bnf.fr/ark:/12148/cb32780296x/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4845926q";"texte -- text -- publication en série imprimée -- printed serial";"La Gazette de France";"";"Genoude, Antoine-Eugène (1792-1849). Collaborateur -- Lourdoueix, Paul de (18..-1868). Directeur de publication";" (Paris)";"1914-04-06";"06 avril 1914 -- 1914/04/06 (A283). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, 4-LC2-1";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32780296x -- https://gallica.bnf.fr/ark:/12148/cb32780296x/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k16465432";"texte -- text -- publication en série imprimée -- printed serial";"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]";"";"Saint-Poncy, Léo de (1825-18..). Directeur de publication -- La Guéronnière, Arthur de (1816-1875). Directeur de publication -- Girardin, Émile de (1806-1881). Directeur de publication";" (Paris)";"1913-01-27";"27 janvier 1913 -- 1913/01/27 (A52,N27). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-3007";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327773077 -- https://gallica.bnf.fr/ark:/12148/cb327773077/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4911406d";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit Marseillais : journal quotidien [\"puis\" journal politique quotidien \"puis\" le plus important des journaux de province]";"";"";" (Marseille)";"1914-07-23";"23 juillet 1914 -- 1914/07/23 (A47,N16828). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JOB-19";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32836813n -- https://gallica.bnf.fr/ark:/12148/cb32836813n/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4956617j";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1914-07-19";"19 juillet 1914 -- 1914/07/19 (A39,N198). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
